,file,only_download,direction,throughput_up,throughput_down,lat,long,mcs_up,mcs_down,rsrp0,rsrp1,rsrp2,rsrp3,rsrp4,rsrp5,rsrp6,rsrp7,beam_id0,beam_id1,beam_id2,beam_id3,beam_id4,beam_id5,beam_id6,beam_id7,selected_beam
108,20 Oct with GPS/23Oct20 170308.1.csv,False,W,18.9,728.3,45.477329,9.234837,26.0,16.0,-89.1,-86.8,-92.9,-79.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
109,20 Oct with GPS/23Oct20 170308.1.csv,False,W,20.1,745.4,45.477329,9.234837,26.0,16.0,-89.5,-87.6,-92.7,-79.9,0,0,0,0,11,12,13,18,0,0,0,0, 18
110,20 Oct with GPS/23Oct20 170308.1.csv,False,W,20.0,730.4,45.477329,9.234837,26.0,16.0,-91.5,-88.2,-92.7,-79.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
111,20 Oct with GPS/23Oct20 170308.1.csv,False,W,20.1,752.2,45.477329,9.234837,26.0,16.0,-92.9,-88.9,-93.0,-79.9,0,0,0,0,11,12,13,18,0,0,0,0, 18
112,20 Oct with GPS/23Oct20 170308.1.csv,False,W,20.2,732.5,45.477329,9.234837,26.0,16.0,-91.6,-88.1,-93.2,-79.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
113,20 Oct with GPS/23Oct20 170308.1.csv,False,W,20.5,724.4,45.477329,9.234837,26.0,16.0,-91.6,-87.8,-92.9,-79.7,0,0,0,0,11,12,13,18,0,0,0,0, 18
114,20 Oct with GPS/23Oct20 170308.1.csv,False,W,19.2,711.8,45.477329,9.234837,26.0,16.0,-91.9,-88.8,-93.2,-80.2,0,0,0,0,11,12,13,18,0,0,0,0, 18
115,20 Oct with GPS/23Oct20 170308.1.csv,False,W,19.7,751.1,45.477329,9.234835,26.0,17.0,-90.2,-88.6,-93.4,-80.7,0,0,0,0,11,12,13,18,0,0,0,0, 18
116,20 Oct with GPS/23Oct20 170308.1.csv,False,W,20.2,743.7,45.477329,9.234835,26.0,16.0,-90.3,-87.6,-93.3,-79.9,0,0,0,0,11,12,13,18,0,0,0,0, 18
117,20 Oct with GPS/23Oct20 170308.1.csv,False,W,16.9,590.6,45.477329,9.234835,21.0,15.0,-89.0,-86.8,-93.3,-82.8,0,0,0,0,11,12,13,18,0,0,0,0, 18
118,20 Oct with GPS/23Oct20 170308.1.csv,False,W,21.2,727.0,45.477329,9.234835,26.0,16.0,-87.9,-85.3,-93.9,-80.7,0,0,0,0,11,12,13,18,0,0,0,0, 18
